IDNR,LOSS,GENDER,AGE,EXPER,MARSTAT,PRESID,TOWORK,MILES,CLAIMS,CITATS,SIZE,COMPA,COMPB,COMPC
95,0.094,0,70,36,3,1,0,22,0,4,1,1000,620,420
96,0.677,1,48,32,1,1,13,17,0,3,1,1000,740,940
97,1.216,1,37,10,3,1,19,2,2,0,3,1000,1400,1600
98,1.571,1,20,3,1,1,13,16,0,2,1,1000,1610,1810
99,0.568,0,43,26,2,1,4,4,1,1,1,1000,920,720
100,1.296,1,25,8,2,0,9,6,0,1,3,1000,1460,1660
101,0.942,1,39,21,1,0,5,8,1,1,3,1000,1070,1270
102,0.985,0,33,12,2,1,5,10,2,2,1,1000,1340,1140
103,0.228,0,60,18,2,1,4,4,4,1,1,1000,1160,960
104,0.857,0,38,15,3,0,5,20,1,3,2,1000,1250,1050
105,0.234,0,63,26,3,1,5,5,0,1,3,1000,920,720
106,1.44,1,27,6,3,1,5,4,1,1,4,1000,1520,1720
107,0.627,1,58,30,2,1,8,1,1,0,2,1000,800,1000
108,1.612,1,18,2,1,1,5,13,0,1,4,1000,1640,1840
109,0.839,0,34,1,2,1,0,6,1,0,1,1000,1670,1470
110,1.451,1,24,2,1,1,0,19,0,1,2,1000,1640,1840
111,0.949,1,43,24,2,1,4,15,0,2,2,1000,980,1180
112,1.407,1,21,5,1,1,5,9,2,1,1,1000,1550,1750
113,1.357,1,25,9,1,0,5,16,2,3,2,1000,1430,1630
114,0.764,1,41,8,2,1,5,15,0,2,2,1000,1460,1660
115,0.521,0,55,27,1,1,5,15,1,2,2,1000,890,690
116,0.308,0,58,35,3,1,3,2,1,0,1,1000,650,450
117,1.721,1,24,8,1,0,32,2,0,0,4,1000,1460,1660
118,1.203,1,30,3,2,0,5,25,0,2,3,1000,1610,1810
119,1.193,0,25,4,1,0,6,4,0,1,1,1000,1580,1380
120,0.861,1,45,17,2,1,5,3,0,0,2,1000,1190,1390
121,1.467,0,18,2,1,1,5,4,0,0,4,1000,1640,1440
122,0.951,0,35,13,2,0,4,10,0,2,1,1000,1310,1110
123,1.337,0,26,3,2,1,5,7,0,1,3,1000,1610,1410
124,0.779,1,54,32,2,1,11,13,1,2,4,1000,740,940
125,1.171,1,32,12,1,0,16,5,0,1,3,1000,1340,1540
126,1.54,0,24,2,1,0,27,13,0,1,4,1000,1640,1440
127,0.779,0,42,14,1,0,6,14,2,2,1,1000,1280,1080
128,1.628,0,20,4,1,0,26,6,1,1,2,1000,1580,1380
129,0.474,1,54,18,2,1,2,1,1,0,1,1000,1160,1360
130,1.667,1,18,2,3,1,11,4,0,0,1,1000,1640,1840
131,0.531,1,52,19,2,0,5,10,2,2,1,1000,1130,1330
132,0.906,0,28,4,2,0,0,6,1,1,1,1000,1580,1380
133,0.719,0,54,36,3,1,35,6,0,1,2,1000,620,420
134,1.266,1,26,9,1,0,0,9,1,1,1,1000,1430,1630
135,1.439,1,19,2,1,1,5,4,0,0,2,1000,1640,1840
136,0.614,0,61,22,3,1,27,6,0,1,1,1000,1040,840
137,0.341,1,85,56,2,0,8,10,0,2,2,1000,20,220
138,1.86,1,17,1,1,0,17,12,0,0,1,1000,1670,1870
139,1.206,0,24,8,2,1,4,4,1,1,1,1000,1460,1260
140,0.639,0,44,14,3,1,6,23,0,4,4,1000,1280,1080
141,0.748,1,44,23,2,1,5,4,0,1,3,1000,1010,1210
142,0.69,1,49,23,2,1,0,19,1,3,2,1000,1010,1210
143,0.503,1,68,45,2,0,25,10,1,2,3,1000,350,550
144,0.647,0,51,23,2,1,22,6,0,1,1,1000,1010,810
145,0.261,1,81,47,2,0,5,23,0,4,1,1000,290,490
146,0.479,1,61,14,2,1,6,4,1,1,1,1000,1280,1480
147,0.364,0,63,37,2,1,7,7,0,1,1,1000,590,390
148,1.098,0,33,13,1,1,5,5,0,1,3,1000,1310,1110
149,1.184,0,31,14,2,0,11,13,1,2,1,1000,1280,1080
150,0.165,0,64,35,2,1,0,4,0,1,3,1000,650,450
151,1.633,0,24,3,2,1,34,4,1,0,1,1000,1610,1410
152,1.201,1,33,15,2,0,32,6,1,1,2,1000,1250,1450
153,0.719,1,46,3,2,0,9,16,0,2,3,1000,1610,1810
154,0.394,0,53,28,2,1,6,10,0,2,1,1000,860,660
155,0.482,0,53,23,2,1,5,15,1,2,1,1000,1010,810
156,1.307,1,34,4,2,1,12,8,3,1,4,1000,1580,1780
157,1.406,1,26,9,1,1,4,5,1,1,2,1000,1430,1630
158,1.032,1,38,21,1,1,4,6,2,1,1,1000,1070,1270
159,0.972,1,45,16,2,1,33,5,0,1,1,1000,1220,1420
160,1.197,0,39,22,2,1,30,18,0,3,1,1000,1040,840
161,1.209,1,28,9,2,1,10,22,1,4,1,1000,1430,1630
162,0.527,0,57,10,2,0,26,6,0,1,2,1000,1400,1200
163,1.352,1,26,5,1,0,13,4,0,1,1,1000,1550,1750
164,0.429,1,62,31,2,1,5,5,2,1,1,1000,770,970
165,0.572,0,68,52,3,1,24,1,0,0,1,1000,140,-60
166,1.698,1,17,0,3,0,5,4,0,0,1,1000,1700,1900
167,1.039,0,30,7,2,1,5,6,0,1,3,1000,1490,1290
168,0.835,0,38,18,2,1,0,20,1,3,4,1000,1160,960
169,0.194,0,81,14,3,1,4,1,0,0,1,1000,1280,1080
170,0.577,0,47,21,2,0,19,12,0,2,4,1000,1070,870
171,0,0,82,27,3,1,3,9,0,1,3,1000,890,690
172,0.776,0,46,20,3,1,5,4,0,1,1,1000,1100,900
173,1.588,0,23,2,1,1,34,5,0,0,4,1000,1640,1440
174,0.303,0,56,14,2,1,5,15,1,2,1,1000,1280,1080
175,1.363,1,29,8,2,1,5,9,0,1,3,1000,1460,1660
176,0.69,0,49,32,3,1,5,21,0,3,3,1000,740,540
177,1.25,1,28,5,1,1,3,5,0,1,1,1000,1550,1750
178,1.18,0,28,4,2,1,4,2,0,0,1,1000,1580,1380
179,0.75,1,50,19,1,1,5,3,1,0,2,1000,1130,1330
180,1.24,0,27,10,1,1,4,5,1,1,1,1000,1400,1200
181,0.08,1,85,24,2,1,1,5,0,1,2,1000,980,1180
182,1.101,1,30,9,2,0,10,7,0,1,2,1000,1430,1630
183,0.174,0,72,18,1,1,5,25,1,4,3,1000,1160,960
184,0.576,0,64,46,2,1,27,5,0,1,1,1000,320,120
185,1.219,0,27,11,1,1,13,4,1,1,3,1000,1370,1170
186,0.875,0,33,17,1,0,5,3,1,0,3,1000,1190,990
187,0.288,1,66,43,2,1,4,6,2,1,1,1000,410,610
188,0.466,0,54,34,3,1,2,22,0,4,2,1000,680,480
189,1.028,0,30,14,2,1,8,4,1,1,3,1000,1280,1080
190,1.444,0,20,2,1,0,5,7,1,0,4,1000,1640,1440
191,1.356,0,22,4,3,0,5,25,1,3,1,1000,1580,1380
192,1.505,1,21,4,1,1,8,4,0,1,1,1000,1580,1780
193,1.353,1,26,7,2,1,0,4,1,1,2,1000,1490,1690
194,0.838,1,37,14,2,1,1,16,0,3,1,1000,1280,1480
195,0.18,0,76,16,3,0,6,6,1,1,1,1000,1220,1020
196,0.731,0,48,2,2,1,21,3,0,0,4,1000,1640,1440
197,0.97,1,47,21,2,1,27,25,0,4,1,1000,1070,1270
198,1.462,1,23,5,1,0,4,6,1,1,2,1000,1550,1750
199,1.206,1,41,19,2,1,33,12,1,2,3,1000,1130,1330
200,0.306,0,65,24,1,1,7,6,1,1,3,1000,980,780
201,1.379,1,25,2,2,0,5,7,0,0,1,1000,1640,1840
202,0.419,1,60,21,2,1,6,10,1,2,4,1000,1070,1270
203,1.272,0,27,11,1,1,27,9,0,1,2,1000,1370,1170
204,1.138,1,32,6,1,1,4,17,1,3,1,1000,1520,1720
205,1.211,1,32,11,2,0,9,2,0,0,1,1000,1370,1570
206,1.505,1,17,1,1,1,5,5,0,0,3,1000,1670,1870
207,0.666,0,46,26,2,1,5,22,1,4,1,1000,920,720
208,1.346,1,23,7,1,1,5,11,1,2,3,1000,1490,1690
209,0.815,1,48,23,2,1,5,4,1,1,2,1000,1010,1210
210,0.746,0,44,13,2,1,9,20,0,3,1,1000,1310,1110
211,0.61,0,51,21,2,1,5,9,0,1,3,1000,1070,870
212,0.403,1,70,38,2,1,5,3,1,0,1,1000,560,760
213,0.535,0,43,26,1,0,4,6,0,1,1,1000,920,720
214,1.122,1,39,6,2,1,14,6,0,1,2,1000,1520,1720
215,0.195,0,60,43,2,0,3,5,0,1,4,1000,410,210
216,0.916,1,39,4,2,0,5,6,2,1,3,1000,1580,1780
217,1.751,0,18,0,1,1,23,14,0,0,3,1000,1700,1500
218,1.422,1,23,6,1,1,5,4,0,1,3,1000,1520,1720
219,1.228,0,29,11,2,1,5,16,1,3,2,1000,1370,1170
220,0.6,0,50,8,2,1,0,1,1,0,2,1000,1460,1260
221,1.168,1,32,9,1,1,17,20,2,3,1,1000,1430,1630
222,1.234,0,27,9,2,1,8,17,1,3,5,1000,1430,1230
223,0.277,0,64,46,3,1,6,2,0,0,1,1000,320,120
224,0.562,1,54,10,2,1,5,16,1,3,2,1000,1400,1600
225,0.546,0,52,26,3,1,2,4,0,1,1,1000,920,720
226,1.037,0,28,3,1,1,3,15,1,1,3,1000,1610,1410
227,1.02,1,41,24,3,1,5,5,3,1,1,1000,980,1180
228,0.863,0,35,15,1,1,6,2,0,0,3,1000,1250,1050
229,0.683,0,62,14,2,1,24,4,0,1,4,1000,1280,1080
230,0.914,1,45,24,2,1,9,11,1,2,3,1000,980,1180
231,1.31,1,26,10,2,1,4,25,1,4,1,1000,1400,1600
232,0.648,0,45,18,2,1,0,6,0,1,2,1000,1160,960
233,0.685,1,46,26,1,1,9,5,1,1,1,1000,920,1120
234,0.896,0,36,6,2,1,14,9,1,1,3,1000,1520,1320
235,0.53,0,54,25,2,1,10,23,1,4,1,1000,950,750
236,0.813,1,44,23,2,1,0,21,2,3,1,1000,1010,1210
237,1.127,0,24,7,2,0,8,11,1,2,1,1000,1490,1290
238,0.971,0,30,11,1,0,8,5,0,1,4,1000,1370,1170
239,0.162,0,75,52,3,1,5,11,0,2,1,1000,140,-60
240,0.97,0,35,15,2,1,0,14,1,2,3,1000,1250,1050
241,0.363,1,74,39,2,0,5,5,0,1,1,1000,530,730
242,0.679,0,45,29,3,1,5,11,0,2,1,1000,830,630
243,1.479,0,17,1,1,0,5,2,0,0,1,1000,1670,1470
244,1.657,0,16,0,1,1,10,8,0,0,5,1000,1700,1500
245,1.35,0,25,3,1,1,7,1,1,0,3,1000,1610,1410
246,1.459,1,19,2,1,1,5,5,1,0,1,1000,1640,1840
247,0.61,0,42,1,2,1,5,25,0,1,1,1000,1670,1470
248,0.58,1,46,25,2,0,4,23,1,4,1,1000,950,1150
249,0.271,0,68,18,2,1,5,9,2,1,2,1000,1160,960
250,1.757,1,18,2,1,1,7,25,0,2,3,1000,1640,1840
251,0.371,0,56,20,2,1,5,22,0,4,1,1000,1100,900
252,0.752,0,36,4,1,0,6,1,1,0,1,1000,1580,1380
253,0.772,1,50,27,2,1,22,19,0,3,2,1000,890,1090
254,0.378,1,78,31,2,0,5,4,0,1,1,1000,770,970
255,0.411,1,75,46,2,1,5,5,0,1,2,1000,320,520
256,1.49,1,27,11,1,1,24,16,2,3,1,1000,1370,1570
257,0.661,1,51,27,2,0,4,20,1,3,1,1000,890,1090
258,1.609,1,18,2,1,1,5,7,0,0,4,1000,1640,1840
259,1.716,1,17,0,1,1,10,9,0,0,1,1000,1700,1900
260,1.496,0,19,2,1,1,14,14,0,1,2,1000,1640,1440
261,1.259,1,31,14,3,1,6,21,1,3,1,1000,1280,1480
262,0.541,0,43,27,1,1,0,3,1,0,2,1000,890,690
263,1.161,1,34,17,1,0,5,3,1,0,1,1000,1190,1390
264,0.645,1,57,39,2,1,4,8,1,1,1,1000,530,730
265,1.169,1,31,12,1,1,15,13,0,2,3,1000,1340,1540
266,1.61,0,17,1,1,1,25,5,0,0,1,1000,1670,1470
267,1.43,0,18,1,1,0,0,19,1,1,1,1000,1670,1470
268,0.653,0,61,15,3,1,21,2,1,0,2,1000,1250,1050
269,0.537,0,63,39,3,1,22,18,1,3,1,1000,530,330
270,0.533,1,66,50,2,1,5,1,1,0,3,1000,200,400
271,1.485,0,22,5,1,1,6,7,0,1,1,1000,1550,1350
272,0.963,0,38,0,2,1,27,23,0,0,1,1000,1700,1500
273,1.045,0,27,8,2,0,8,7,0,1,1,1000,1460,1260
274,1.523,0,18,1,1,1,4,5,0,0,1,1000,1670,1470
275,0.88,1,38,14,1,1,5,4,1,1,5,1000,1280,1480
276,1.228,0,38,4,2,1,29,5,0,1,1,1000,1580,1380
277,0.444,1,57,36,2,1,5,8,0,1,3,1000,620,820
278,0.777,1,40,21,2,1,0,5,1,1,1,1000,1070,1270
279,0.884,1,41,7,2,1,10,1,2,0,2,1000,1490,1690
280,0.465,1,61,44,2,1,10,10,0,2,2,1000,380,580
281,1.629,1,19,3,1,1,6,4,2,0,1,1000,1610,1810
282,1.52,0,21,5,1,1,9,10,2,2,3,1000,1550,1350
283,1.313,1,38,10,3,0,33,15,0,2,3,1000,1400,1600
284,0.491,1,54,32,2,1,4,7,1,1,1,1000,740,940
285,0.645,0,48,26,2,1,2,8,2,1,4,1000,920,720
286,1.079,1,33,17,1,1,3,2,2,0,1,1000,1190,1390
287,0.918,0,39,13,2,1,4,4,1,1,3,1000,1310,1110
288,1.726,1,23,7,2,1,20,4,1,1,1,1000,1490,1690
289,1.469,0,16,0,1,0,6,6,0,0,2,1000,1700,1500
290,0.757,0,56,33,2,1,28,12,0,2,3,1000,710,510
291,1.498,0,17,1,1,0,19,26,0,1,1,1000,1670,1470
292,0.707,1,59,32,2,1,22,5,0,1,1,1000,740,940
293,1.354,1,26,6,2,0,4,12,3,2,1,1000,1520,1720
294,1.568,0,19,3,2,1,2,14,0,1,1,1000,1610,1410
295,1.315,1,24,4,2,0,8,19,1,2,1,1000,1580,1780
296,1.031,1,37,8,1,0,9,6,1,1,3,1000,1460,1660
297,1.364,1,26,8,2,0,5,2,3,0,1,1000,1460,1660
298,1.6,1,20,4,1,0,5,12,1,2,1,1000,1580,1780
299,1.362,0,16,0,1,0,5,13,0,0,4,1000,1700,1500
300,0.638,0,44,12,2,1,0,5,1,1,5,1000,1340,1140
301,1.068,1,37,17,1,1,13,1,1,0,1,1000,1190,1390
302,1.02,0,28,0,3,0,10,6,0,0,1,1000,1700,1500
303,1.151,1,29,13,1,0,1,5,0,1,1,1000,1310,1510
304,0.614,0,44,9,2,1,5,6,0,1,1,1000,1430,1230
305,1.291,1,30,12,1,1,9,2,0,0,1,1000,1340,1540
306,1.146,1,28,7,1,1,5,7,1,1,3,1000,1490,1690
307,1.554,0,25,8,1,1,29,4,0,1,1,1000,1460,1260
308,0.632,0,43,21,1,1,6,2,0,0,1,1000,1070,870
309,1.182,0,30,12,2,1,0,4,2,1,1,1000,1340,1140
310,0.413,0,54,32,2,1,5,9,1,1,4,1000,740,540
311,0.64,0,40,11,2,0,5,5,1,1,1,1000,1370,1170
312,1.588,0,19,0,1,1,5,5,0,0,1,1000,1700,1500
313,0.61,1,60,35,2,1,5,13,1,2,1,1000,650,850
314,1.005,1,36,19,3,1,7,12,0,2,1,1000,1130,1330
315,1.097,0,28,7,3,1,5,22,2,4,2,1000,1490,1290
316,1.514,0,19,2,1,1,1,9,0,1,2,1000,1640,1440
317,1.215,0,27,1,2,1,4,11,0,0,1,1000,1670,1470
318,1.087,0,32,10,1,1,0,22,1,4,2,1000,1400,1200
319,1.526,0,19,2,1,1,5,7,0,0,1,1000,1640,1440
320,0.32,0,51,26,2,0,1,7,0,1,2,1000,920,720
321,0.763,0,43,16,1,1,2,13,1,2,1,1000,1220,1020
322,0.396,0,64,44,2,1,13,2,0,0,1,1000,380,180
323,1.576,1,18,2,1,1,5,7,0,0,2,1000,1640,1840
324,0.347,0,64,46,3,0,0,20,0,3,4,1000,320,120
325,1.602,1,17,0,1,0,6,2,0,0,5,1000,1700,1900
326,1.76,1,19,0,1,0,35,3,0,0,1,1000,1700,1900
327,0.571,1,47,15,2,0,6,6,1,1,2,1000,1250,1450
328,1.471,1,18,1,1,1,4,4,0,0,1,1000,1670,1870
329,0.335,1,84,38,2,1,0,10,0,2,2,1000,560,760
330,0.795,0,40,3,1,0,5,6,1,1,2,1000,1610,1410
331,0.952,1,42,25,2,0,7,5,1,1,3,1000,950,1150
332,0.372,1,63,32,2,1,6,3,1,0,2,1000,740,940
333,1.174,1,29,8,1,1,1,14,1,2,1,1000,1460,1660
334,1.212,0,28,6,1,1,19,13,0,2,1,1000,1520,1320
335,0.649,0,50,20,3,1,6,8,1,1,1,1000,1100,900
336,0.925,1,39,23,2,1,4,1,1,0,2,1000,1010,1210
337,0.656,0,52,21,2,1,12,18,0,3,3,1000,1070,870
338,0.972,1,36,11,1,0,8,17,2,3,1,1000,1370,1570
339,1.077,1,43,27,2,1,30,23,0,4,1,1000,890,1090
340,1.503,1,24,5,1,0,10,7,1,1,1,1000,1550,1750
341,0.44,1,58,40,2,1,9,11,3,2,4,1000,500,700
342,1.142,0,28,12,2,1,0,5,1,1,1,1000,1340,1140
343,1.567,0,18,2,1,0,19,5,0,0,3,1000,1640,1440
344,0.783,0,42,24,1,1,17,3,2,0,2,1000,980,780
345,1.659,1,21,4,1,0,27,2,0,0,3,1000,1580,1780
346,0.121,0,76,59,3,1,9,6,0,1,2,1000,-70,-270
347,0.515,1,49,32,2,1,0,10,0,2,1,1000,740,940
348,0.861,1,48,23,2,1,7,7,1,1,1,1000,1010,1210
349,1.047,1,30,10,2,1,0,10,2,2,5,1000,1400,1600
350,0.412,1,65,25,2,0,5,3,1,0,1,1000,950,1150
351,1.555,0,18,1,1,1,5,7,0,0,1,1000,1670,1470
352,0.891,0,32,13,2,1,5,20,0,3,4,1000,1310,1110
353,0.732,1,53,23,2,1,24,7,1,1,3,1000,1010,1210
354,0.824,0,39,16,2,1,2,2,1,0,1,1000,1220,1020
355,1.155,0,29,11,1,0,6,24,1,4,2,1000,1370,1170
356,0.911,0,42,24,2,1,8,9,1,1,1,1000,980,780
357,1.314,1,29,9,2,1,5,12,0,2,2,1000,1430,1630
358,1.41,1,20,2,1,1,4,17,0,1,3,1000,1640,1840
359,1.155,0,25,3,1,1,5,9,0,1,1,1000,1610,1410
360,1.426,0,19,3,3,0,5,3,1,0,2,1000,1610,1410
361,0.424,0,62,25,2,0,5,5,1,1,2,1000,950,750
362,0.312,1,74,45,2,1,2,4,0,1,1,1000,350,550
363,0.423,1,52,27,2,0,0,16,0,3,4,1000,890,1090
364,0.842,0,40,13,2,1,4,16,2,3,1,1000,1310,1110
365,0.646,1,58,39,2,1,2,12,0,2,1,1000,530,730
366,0.371,1,69,41,2,0,18,20,0,3,1,1000,470,670
367,1.463,0,19,3,3,0,13,3,0,0,1,1000,1610,1410
368,1.426,1,27,5,2,1,5,4,0,1,3,1000,1550,1750
369,1.412,1,20,3,2,1,5,22,1,2,1,1000,1610,1810
370,0.851,1,51,27,2,1,12,21,0,3,3,1000,890,1090
371,0.488,0,54,36,3,1,9,8,1,1,2,1000,620,420
372,1.377,0,18,2,1,1,0,8,0,1,1,1000,1640,1440
373,1.14,0,29,6,2,1,5,16,0,3,3,1000,1520,1320
374,0.245,0,73,43,3,1,5,2,0,0,1,1000,410,210
375,1.421,0,21,5,1,1,1,7,1,1,1,1000,1550,1350
376,1.54,1,22,2,3,1,5,5,0,0,3,1000,1640,1840
377,1.59,1,19,2,1,1,7,25,0,2,4,1000,1640,1840
378,0.991,0,27,4,1,0,1,20,2,3,1,1000,1580,1380
379,0.794,0,58,42,2,1,30,5,1,1,1,1000,440,240
380,0.721,0,40,19,2,0,1,2,0,0,1,1000,1130,930
381,0.897,1,43,27,2,0,0,22,2,4,4,1000,890,1090
382,0.787,1,60,28,2,0,27,4,0,1,2,1000,860,1060
383,0.801,1,44,27,2,1,1,5,1,1,1,1000,890,1090
384,1.268,0,19,2,1,1,0,8,0,0,2,1000,1640,1440
385,1.243,0,28,10,2,1,24,8,0,1,2,1000,1400,1200
386,0.954,1,38,13,1,0,0,5,0,1,2,1000,1310,1510
387,1.324,1,29,4,2,0,5,3,1,0,1,1000,1580,1780
388,0.967,1,41,17,2,1,24,5,0,1,2,1000,1190,1390
389,0.487,0,57,28,2,0,5,19,3,3,1,1000,860,660
390,1.155,1,42,21,2,1,21,12,2,2,4,1000,1070,1270
391,1.568,0,23,3,1,1,16,6,1,1,2,1000,1610,1410
392,0.643,1,63,31,2,1,13,3,1,0,3,1000,770,970
393,0.87,1,39,17,3,0,6,12,1,2,2,1000,1190,1390
394,1.564,0,22,2,1,1,34,2,0,0,1,1000,1640,1440
395,0.988,1,35,18,1,1,5,8,2,1,1,1000,1160,1360
396,0.804,1,62,11,2,1,32,3,0,0,2,1000,1370,1570
397,1.228,0,20,3,1,1,0,10,1,1,5,1000,1610,1410
398,1.485,1,20,4,1,1,1,9,0,1,1,1000,1580,1780
399,0.454,0,49,28,2,1,5,1,0,0,3,1000,860,660
400,0.643,0,40,13,2,0,7,2,1,0,4,1000,1310,1110
401,1.279,1,29,11,2,1,4,4,0,1,2,1000,1370,1570
402,1.445,0,21,5,1,0,9,25,0,4,2,1000,1550,1350
